feature,importance_mean,importance_std
sku_mean_demand,10.27508655089494,0.02567255303394541
rolling_mean_14,1.1500668925622048,0.005463197250608325
rolling_mean_7,0.03258976573655463,0.0016374631584468544
lag_14,0.020060326472632894,0.0006977838363004859
lag_1,0.007285047384831778,0.0002603891758708286
CV2,0.005505693017920699,0.0010355113184599123
sku_std_demand,0.0037890319995034006,0.0004454988993118675
lag_7,0.003076292437236283,0.0004409087482007759
lag_3,0.0027244792062010247,0.0005963517303901486
rolling_cv_14,0.0016422125831459411,0.00016986330967240463
rolling_std_14,0.00046907949718555386,3.944044643131644e-05
sku_mean_lead_time,0.0002562256653533268,0.000114682997991139
rolling_std_7,0.0001638230656334727,8.368748991883872e-05
week_of_year,8.174353295498094e-05,8.673035713423139e-05
month,5.446874503256538e-05,5.084496557660554e-05
day_of_week,4.999640419196538e-05,4.27154355718208e-05
is_weekend,0.0,0.0
ADI,0.0,0.0
intermittency_enc,0.0,0.0
category_enc,-3.672427664884737e-05,1.4370524978029167e-05
sku_reorder_freq_days,-9.473873982006609e-05,1.5442320053621825e-05
